Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5811       1638       0          1000       0.28
structure_refs      3251       224        0          7          0.07
biomes              3251       372        0          153        0.11
terrain             3251       5209       1          128        1.60
surface             3251       1848       0          109        0.57
air_carvers         3251       2148       0          49         0.66
fluid_carvers       3251       44         0          8          0.01
decoration          3003       10837      1          150        3.61
mob_spawns          2764       119        0          34         0.04
structure_searches  0          0          0          0          0.00
Sum                                                             6.96
