Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    14152      2014       0          1014       0.14
structure_refs      9979       603        0          12         0.06
biomes              9979       1394       0          355        0.14
terrain             9979       17082      1          109        1.71
surface             9979       4914       0          66         0.49
air_carvers         9979       6024       0          38         0.60
fluid_carvers       9979       169        0          99         0.02
decoration          9523       19730      0          1478       2.07
mob_spawns          9079       286        0          33         0.03
structure_searches  0          0          0          0          0.00
Sum                                                             5.27
