Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    23158      3084       0          930        0.13
structure_refs      16258      1038       0          39         0.06
biomes              16258      1542       0          177        0.09
terrain             16257      27722      1          83         1.71
surface             16257      7423       0          13         0.46
air_carvers         16257      9300       0          67         0.57
fluid_carvers       16257      95         0          5          0.01
decoration          15442      26057      0          618        1.69
mob_spawns          14623      389        0          27         0.03
structure_searches  0          0          0          0          0.00
Sum                                                             4.75
