Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    14584      2555       0          1053       0.18
structure_refs      10162      668        0          39         0.07
biomes              10162      1467       0          319        0.14
terrain             10162      19822      1          87         1.95
surface             10162      6767       0          1512       0.67
air_carvers         10162      5805       0          37         0.57
fluid_carvers       10162      94         0          3          0.01
decoration          9675       17524      0          1537       1.81
mob_spawns          9189       236        0          5          0.03
structure_searches  0          0          0          0          0.00
Sum                                                             5.42
